Simulation,Nombre de faillites,Poids total
1,9999,50000000.0
2,9999,75000000.0
3,9999,112500000.0
4,9995,168750000.0
5,9991,253125000.0
6,9987,379687500.0
7,9979,569531250.0
8,9970,854296875.0
9,9934,1281445312.5
10,9822,1922167968.75
11,9622,2883251953.125
12,9350,4324877929.6875
13,9003,6487316894.53125
14,8671,9730975341.796875
15,8337,14596463012.695312
16,7865,21894694519.04297
17,7250,32842041778.564453
18,6472,49263062667.84668
19,5465,73894594001.77002
20,4314,110841891002.65503
