Simulation,Nombre de faillites,Poids total
1,9893,50000000.0
2,9892,75000000.0
3,9888,112500000.0
4,9885,168750000.0
5,9879,253125000.0
6,9873,379687500.0
7,9858,569531250.0
8,9829,854296875.0
9,9748,1281445312.5
10,9474,1922167968.75
11,8731,2883251953.125
12,7437,4324877929.6875
13,6019,6487316894.53125
14,4483,9730975341.796875
15,2849,14596463012.695312
16,1485,21894694519.04297
17,535,32842041778.564453
18,94,49263062667.84668
19,1,73894594001.77002
20,0,110841891002.65503
