Simulation,Nombre de faillites,Poids total
1,9986,50000000.0
2,9981,75000000.0
3,9976,112500000.0
4,9961,168750000.0
5,9933,253125000.0
6,9905,379687500.0
7,9823,569531250.0
8,9716,854296875.0
9,9527,1281445312.5
10,9114,1922167968.75
11,8290,2883251953.125
12,6716,4324877929.6875
13,3946,6487316894.53125
14,13,9730975341.796875
15,0,14596463012.695312
16,0,21894694519.04297
17,0,32842041778.564453
18,0,49263062667.84668
19,0,73894594001.77002
20,0,110841891002.65503
