Simulation,Nombre de faillites,Poids total
1,9987,50000000.0
2,9984,75000000.0
3,9973,112500000.0
4,9961,168750000.0
5,9932,253125000.0
6,9903,379687500.0
7,9868,569531250.0
8,9795,854296875.0
9,9700,1281445312.5
10,9507,1922167968.75
11,9024,2883251953.125
12,6866,4324877929.6875
13,4820,6487316894.53125
14,3364,9730975341.796875
15,2355,14596463012.695312
16,1492,21894694519.04297
17,861,32842041778.564453
18,433,49263062667.84668
19,199,73894594001.77002
20,58,110841891002.65503
