Simulation,Nombre de faillites,Poids total
1,9999,50000000.0
2,9999,75000000.0
3,9999,112500000.0
4,9996,168750000.0
5,9991,253125000.0
6,9988,379687500.0
7,9982,569531250.0
8,9974,854296875.0
9,9962,1281445312.5
10,9922,1922167968.75
11,9673,2883251953.125
12,9104,4324877929.6875
13,8520,6487316894.53125
14,7896,9730975341.796875
15,7286,14596463012.695312
16,6645,21894694519.04297
17,5860,32842041778.564453
18,4981,49263062667.84668
19,4026,73894594001.77002
20,2995,110841891002.65503
